Domain,Kingdom,Phylum,Class,Order,Family,Genus,Species,OTU,Total,Percent,Prevalence
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__P3OB-42,g__norank_f__P3OB-42,s__uncultured_bacterium_g__norank_f__P3OB-42,OTU1077,3,4.15161e-6,11.764705882353%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Bdellovibrionales,f__Bdellovibrionaceae,g__OM27_clade,s__metagenome_g__OM27_clade,OTU692,9,1.0E-5,17.647058823529%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__unclassified_c__Gammaproteobacteria,f__unclassified_c__Gammaproteobacteria,g__unclassified_c__Gammaproteobacteria,s__unclassified_c__Gammaproteobacteria,OTU1084,7,9.68708e-6,11.764705882353%
d__Bacteria,k__norank_d__Bacteria,p__unclassified_k__norank_d__Bacteria,c__unclassified_k__norank_d__Bacteria,o__unclassified_k__norank_d__Bacteria,f__unclassified_k__norank_d__Bacteria,g__unclassified_k__norank_d__Bacteria,s__unclassified_k__norank_d__Bacteria,OTU759,41,6.0E-5,29.411764705882%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Desulfovibrio,s__unclassified_g__Desulfovibrio,OTU866,16,2.0E-5,17.647058823529%
d__Bacteria,k__norank_d__Bacteria,p__Acidobacteria,c__Subgroup_6,o__norank_c__Subgroup_6,f__norank_c__Subgroup_6,g__norank_c__Subgroup_6,s__unclassified_g__norank_c__Subgroup_6,OTU1702,5503,0.00762,100%
d__Bacteria,k__norank_d__Bacteria,p__Verrucomicrobia,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__norank_f__Pedosphaeraceae,s__uncultured_bacterium_g__norank_f__Pedosphaeraceae,OTU818,18,2.0E-5,17.647058823529%
d__Bacteria,k__norank_d__Bacteria,p__Chlamydiae,c__Chlamydiae,o__Chlamydiales,f__Simkaniaceae,g__norank_f__Simkaniaceae,s__unclassified_g__norank_f__Simkaniaceae,OTU915,4,5.53547e-6,5.8823529411765%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Bdellovibrionales,f__Bdellovibrionaceae,g__Bdellovibrio,s__unclassified_g__Bdellovibrio,OTU682,2,2.76774e-6,5.8823529411765%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Gallionellaceae,g__Gallionella,s__unclassified_g__Gallionella,OTU1087,38,5.0E-5,23.529411764706%
d__Bacteria,k__norank_d__Bacteria,p__Planctomycetes,c__OM190,o__norank_c__OM190,f__norank_c__OM190,g__norank_c__OM190,s__uncultured_bacterium_g__norank_c__OM190,OTU1041,651,0.0009,17.647058823529%
d__Bacteria,k__norank_d__Bacteria,p__Elusimicrobia,c__Elusimicrobia,o__norank_c__Elusimicrobia,f__norank_c__Elusimicrobia,g__norank_c__Elusimicrobia,s__unclassified_g__norank_c__Elusimicrobia,OTU1012,2,2.76774e-6,5.8823529411765%
d__Bacteria,k__norank_d__Bacteria,p__Armatimonadetes,c__Fimbriimonadia,o__Fimbriimonadales,f__Fimbriimonadaceae,g__norank_f__Fimbriimonadaceae,s__unclassified_g__norank_f__Fimbriimonadaceae,OTU950,2,2.76774e-6,11.764705882353%
d__Bacteria,k__norank_d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Cytophagales,f__Microscillaceae,g__norank_f__Microscillaceae,s__unclassified_g__norank_f__Microscillaceae,OTU1002,147,0.0002,23.529411764706%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Bdellovibrionales,f__Bdellovibrionaceae,g__Bdellovibrio,s__unclassified_g__Bdellovibrio,OTU1349,18,2.0E-5,11.764705882353%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Parvularculaceae,g__Amphiplicatus,s__uncultured_bacterium_g__Amphiplicatus,OTU1105,519,0.00072,41.176470588235%
d__Bacteria,k__norank_d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Frankiales,f__Sporichthyaceae,g__unclassified_f__Sporichthyaceae,s__unclassified_f__Sporichthyaceae,OTU693,109,0.00015,41.176470588235%
d__Bacteria,k__norank_d__Bacteria,p__Patescibacteria,c__Parcubacteria,o__norank_c__Parcubacteria,f__norank_c__Parcubacteria,g__norank_c__Parcubacteria,s__uncultured_bacterium_g__norank_c__Parcubacteria,OTU1086,29,4.0E-5,17.647058823529%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__unclassified_o__Myxococcales,g__unclassified_o__Myxococcales,s__unclassified_o__Myxococcales,OTU770,7,9.68708e-6,5.8823529411765%
d__Bacteria,k__norank_d__Bacteria,p__Acidobacteria,c__Subgroup_6,o__norank_c__Subgroup_6,f__norank_c__Subgroup_6,g__norank_c__Subgroup_6,s__unclassified_g__norank_c__Subgroup_6,OTU1144,30,4.0E-5,29.411764705882%
d__Bacteria,k__norank_d__Bacteria,p__Planctomycetes,c__Planctomycetacia,o__Gemmatales,f__Gemmataceae,g__norank_f__Gemmataceae,s__uncultured_bacterium_g__norank_f__Gemmataceae,OTU824,26,4.0E-5,23.529411764706%
d__Bacteria,k__norank_d__Bacteria,p__Chloroflexi,c__OLB14,o__norank_c__OLB14,f__norank_c__OLB14,g__norank_c__OLB14,s__uncultured_bacterium_g__norank_c__OLB14,OTU1729,184,0.00025,52.941176470588%
d__Bacteria,k__norank_d__Bacteria,p__Chloroflexi,c__KD4-96,o__norank_c__KD4-96,f__norank_c__KD4-96,g__norank_c__KD4-96,s__uncultured_bacterium_g__norank_c__KD4-96,OTU919,159,0.00022,58.823529411765%
d__Bacteria,k__norank_d__Bacteria,p__Planctomycetes,c__Phycisphaerae,o__Phycisphaerales,f__Phycisphaeraceae,g__SM1A02,s__unclassified_g__SM1A02,OTU1102,58,8.0E-5,11.764705882353%
d__Bacteria,k__norank_d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Solirubrobacterales,f__67-14,g__norank_f__67-14,s__uncultured_soil_bacterium_g__norank_f__67-14,OTU874,26,4.0E-5,17.647058823529%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Diplorickettsiales,f__Diplorickettsiaceae,g__norank_f__Diplorickettsiaceae,s__unclassified_g__norank_f__Diplorickettsiaceae,OTU1060,7,9.68708e-6,23.529411764706%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__A0839,g__norank_f__A0839,s__metagenome_g__norank_f__A0839,OTU1389,11,2.0E-5,35.294117647059%
d__Bacteria,k__norank_d__Bacteria,p__Planctomycetes,c__Planctomycetacia,o__Gemmatales,f__Gemmataceae,g__norank_f__Gemmataceae,s__uncultured_bacterium_g__norank_f__Gemmataceae,OTU953,11,2.0E-5,11.764705882353%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__R7C24,f__norank_o__R7C24,g__norank_o__R7C24,s__uncultured_gamma_proteobacterium_g__norank_o__R7C24,OTU684,3,4.15161e-6,5.8823529411765%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__SM2D12,g__norank_f__SM2D12,s__metagenome_g__norank_f__SM2D12,OTU1112,171,0.00024,17.647058823529%
d__Bacteria,k__norank_d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__unclassified_f__Sphingobacteriaceae,s__unclassified_f__Sphingobacteriaceae,OTU791,25,3.0E-5,5.8823529411765%
d__Bacteria,k__norank_d__Bacteria,p__Planctomycetes,c__Planctomycetacia,o__Gemmatales,f__Gemmataceae,g__norank_f__Gemmataceae,s__unclassified_g__norank_f__Gemmataceae,OTU1024,10,1.0E-5,23.529411764706%
d__Bacteria,k__norank_d__Bacteria,p__Verrucomicrobia,c__Verrucomicrobiae,o__Opitutales,f__Opitutaceae,g__unclassified_f__Opitutaceae,s__unclassified_f__Opitutaceae,OTU696,50,7.0E-5,23.529411764706%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Legionellales,f__Legionellaceae,g__Legionella,s__uncultured_bacterium_g__Legionella,OTU837,9,1.0E-5,11.764705882353%
d__Bacteria,k__norank_d__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SBR1031,f__A4b,g__norank_f__A4b,s__unclassified_g__norank_f__A4b,OTU1017,2,2.76774e-6,5.8823529411765%
d__Bacteria,k__norank_d__Bacteria,p__Planctomycetes,c__Planctomycetacia,o__Gemmatales,f__Gemmataceae,g__norank_f__Gemmataceae,s__unclassified_g__norank_f__Gemmataceae,OTU1131,9,1.0E-5,35.294117647059%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__SM1B06,g__norank_f__SM1B06,s__uncultured_bacterium_g__norank_f__SM1B06,OTU942,8,1.0E-5,5.8823529411765%
d__Bacteria,k__norank_d__Bacteria,p__Nitrospirae,c__Nitrospira,o__norank_c__Nitrospira,f__norank_c__Nitrospira,g__Nitrospira,s__uncultured_Nitrospira_sp._g__Nitrospira,OTU1148,467,0.00065,52.941176470588%
d__Bacteria,k__norank_d__Bacteria,p__Cyanobacteria,c__Melainabacteria,o__Vampirovibrionales,f__norank_o__Vampirovibrionales,g__norank_o__Vampirovibrionales,s__uncultured_bacterium_g__norank_o__Vampirovibrionales,OTU1110,34,5.0E-5,23.529411764706%
d__Bacteria,k__norank_d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Solirubrobacterales,f__Solirubrobacteraceae,g__Parviterribacter,s__uncultured_bacterium_g__Parviterribacter,OTU1406,130,0.00018,29.411764705882%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__unclassified_o__Betaproteobacteriales,g__unclassified_o__Betaproteobacteriales,s__unclassified_o__Betaproteobacteriales,OTU1074,208,0.00029,35.294117647059%
d__Bacteria,k__norank_d__Bacteria,p__Planctomycetes,c__Planctomycetacia,o__Gemmatales,f__Gemmataceae,g__norank_f__Gemmataceae,s__unclassified_g__norank_f__Gemmataceae,OTU883,83,0.00011,29.411764705882%
d__Bacteria,k__norank_d__Bacteria,p__Chloroflexi,c__OLB14,o__norank_c__OLB14,f__norank_c__OLB14,g__norank_c__OLB14,s__unclassified_g__norank_c__OLB14,OTU989,186,0.00026,23.529411764706%
d__Bacteria,k__norank_d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Frankiales,f__unclassified_o__Frankiales,g__unclassified_o__Frankiales,s__unclassified_o__Frankiales,OTU688,25,3.0E-5,23.529411764706%
d__Bacteria,k__norank_d__Bacteria,p__Chlamydiae,c__Chlamydiae,o__Chlamydiales,f__Parachlamydiaceae,g__Neochlamydia,s__uncultured_Chlamydiales_bacterium_g__Neochlamydia,OTU1731,3,4.15161e-6,5.8823529411765%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Nitrosomonadaceae,g__Nitrosomonas,s__unclassified_g__Nitrosomonas,OTU699,12,2.0E-5,17.647058823529%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Gammaproteobacteria_Incertae_Sedis,f__unclassified_o__Gammaproteobacteria_Incertae_Sedis,g__Candidatus_Ovatusbacter,s__unclassified_g__Candidatus_Ovatusbacter,OTU1116,3,4.15161e-6,5.8823529411765%
d__Bacteria,k__norank_d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Microtrichales,f__norank_o__Microtrichales,g__norank_o__Microtrichales,s__uncultured_bacterium_g__norank_o__Microtrichales,OTU858,26,4.0E-5,11.764705882353%
d__Bacteria,k__norank_d__Bacteria,p__Chlamydiae,c__Chlamydiae,o__Chlamydiales,f__Simkaniaceae,g__norank_f__Simkaniaceae,s__unclassified_g__norank_f__Simkaniaceae,OTU794,160,0.00022,29.411764705882%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Rhodocyclaceae,g__norank_f__Rhodocyclaceae,s__uncultured_Rhodocyclaceae_bacterium_g__norank_f__Rhodocyclaceae,OTU948,4,5.53547e-6,11.764705882353%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__unclassified_c__Deltaproteobacteria,f__unclassified_c__Deltaproteobacteria,g__unclassified_c__Deltaproteobacteria,s__unclassified_c__Deltaproteobacteria,OTU1018,4,5.53547e-6,11.764705882353%
d__Bacteria,k__norank_d__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SBR1031,f__A4b,g__norank_f__A4b,s__uncultured_bacterium_g__norank_f__A4b,OTU1038,23,3.0E-5,5.8823529411765%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__bacteriap25,g__norank_f__bacteriap25,s__unclassified_g__norank_f__bacteriap25,OTU1188,131,0.00018,11.764705882353%
d__Bacteria,k__norank_d__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__norank_f__Gemmatimonadaceae,s__metagenome_g__norank_f__Gemmatimonadaceae,OTU1135,765,0.00106,82.352941176471%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__unclassified_o__Rhizobiales,g__unclassified_o__Rhizobiales,s__unclassified_o__Rhizobiales,OTU1108,14,2.0E-5,5.8823529411765%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__NB1-j,f__norank_o__NB1-j,g__norank_o__NB1-j,s__unclassified_g__norank_o__NB1-j,OTU1437,139,0.00019,76.470588235294%
d__Bacteria,k__norank_d__Bacteria,p__Cyanobacteria,c__Oxyphotobacteria,o__Nostocales,f__Microcystaceae,g__Chalicogloea_CCALA_975,s__unclassified_g__Chalicogloea_CCALA_975,OTU1145,5,6.91934e-6,5.8823529411765%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__TRA3-20,g__norank_f__TRA3-20,s__unclassified_g__norank_f__TRA3-20,OTU907,284,0.00039,76.470588235294%
d__Bacteria,k__norank_d__Bacteria,p__Dependentiae,c__Babeliae,o__Babeliales,f__UBA12409,g__norank_f__UBA12409,s__uncultured_bacterium_g__norank_f__UBA12409,OTU992,5,6.91934e-6,17.647058823529%
d__Bacteria,k__norank_d__Bacteria,p__Cyanobacteria,c__Oxyphotobacteria,o__Limnotrichales,f__Limnotrichaceae,g__Limnothrix,s__Limnothrix_sp._B15,OTU710,4,5.53547e-6,5.8823529411765%
d__Bacteria,k__norank_d__Bacteria,p__Chlamydiae,c__Chlamydiae,o__Chlamydiales,f__Parachlamydiaceae,g__Neochlamydia,s__uncultured_bacterium_g__Neochlamydia,OTU859,2,2.76774e-6,5.8823529411765%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Neisseriaceae,g__norank_f__Neisseriaceae,s__uncultured_beta_proteobacterium_g__norank_f__Neisseriaceae,OTU742,2,2.76774e-6,5.8823529411765%
d__Bacteria,k__norank_d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Gaiellales,f__norank_o__Gaiellales,g__norank_o__Gaiellales,s__uncultured_organism_g__norank_o__Gaiellales,OTU801,606,0.00084,82.352941176471%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Magnetospirillaceae,g__norank_f__Magnetospirillaceae,s__metagenome_g__norank_f__Magnetospirillaceae,OTU1744,5,6.91934e-6,11.764705882353%
d__Bacteria,k__norank_d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Sphingobacteriales,f__env.OPS_17,g__norank_f__env.OPS_17,s__uncultured_Bacteroidetes_bacterium_g__norank_f__env.OPS_17,OTU1138,23,3.0E-5,17.647058823529%
d__Bacteria,k__norank_d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Sphingobacteriales,f__KD3-93,g__norank_f__KD3-93,s__metagenome_g__norank_f__KD3-93,OTU1044,90,0.00012,41.176470588235%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Oligoflexales,f__0319-6G20,g__norank_f__0319-6G20,s__bacterium_enrichment_culture_clone_B1262011,OTU1006,4,5.53547e-6,5.8823529411765%
d__Bacteria,k__norank_d__Bacteria,p__Cyanobacteria,c__Oxyphotobacteria,o__Chloroplast,f__norank_o__Chloroplast,g__norank_o__Chloroplast,s__unclassified_g__norank_o__Chloroplast,OTU1128,525,0.00073,64.705882352941%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__AB1,g__norank_f__AB1,s__uncultured_organism_g__norank_f__AB1,OTU1023,2,2.76774e-6,5.8823529411765%
d__Bacteria,k__norank_d__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__norank_o__Saccharimonadales,g__norank_o__Saccharimonadales,s__uncultured_bacterium_g__norank_o__Saccharimonadales,OTU1441,3,4.15161e-6,5.8823529411765%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__unclassified_c__Gammaproteobacteria,f__unclassified_c__Gammaproteobacteria,g__unclassified_c__Gammaproteobacteria,s__unclassified_c__Gammaproteobacteria,OTU1192,13,2.0E-5,17.647058823529%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__unclassified_c__Gammaproteobacteria,f__unclassified_c__Gammaproteobacteria,g__unclassified_c__Gammaproteobacteria,s__unclassified_c__Gammaproteobacteria,OTU1122,21,3.0E-5,5.8823529411765%
d__Bacteria,k__norank_d__Bacteria,p__Verrucomicrobia,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Verrucomicrobiaceae,g__Prosthecobacter,s__unclassified_g__Prosthecobacter,OTU994,6,8.30321e-6,29.411764705882%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__unclassified_c__Gammaproteobacteria,f__unclassified_c__Gammaproteobacteria,g__unclassified_c__Gammaproteobacteria,s__unclassified_c__Gammaproteobacteria,OTU1182,14,2.0E-5,17.647058823529%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__unclassified_f__Sphingomonadaceae,s__unclassified_f__Sphingomonadaceae,OTU722,72,0.0001,29.411764705882%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Salinisphaerales,f__Solimonadaceae,g__Panacagrimonas,s__uncultured_bacterium_g__Panacagrimonas,OTU861,8,1.0E-5,11.764705882353%
d__Bacteria,k__norank_d__Bacteria,p__Cyanobacteria,c__Oxyphotobacteria,o__Chloroplast,f__norank_o__Chloroplast,g__norank_o__Chloroplast,s__Vischeria_sp._CAUP_Q_202,OTU744,21,3.0E-5,29.411764705882%
d__Bacteria,k__norank_d__Bacteria,p__Dependentiae,c__Babeliae,o__Babeliales,f__unclassified_o__Babeliales,g__unclassified_o__Babeliales,s__unclassified_o__Babeliales,OTU926,6,8.30321e-6,11.764705882353%
d__Bacteria,k__norank_d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Alloprevotella,s__uncultured_bacterium_g__Alloprevotella,OTU840,7,9.68708e-6,5.8823529411765%
d__Bacteria,k__norank_d__Bacteria,p__Chloroflexi,c__TK10,o__norank_c__TK10,f__norank_c__TK10,g__norank_c__TK10,s__uncultured_bacterium_g__norank_c__TK10,OTU1754,9,1.0E-5,5.8823529411765%
d__Bacteria,k__norank_d__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Subgroup_2,f__norank_o__Subgroup_2,g__norank_o__Subgroup_2,s__uncultured_bacterium_g__norank_o__Subgroup_2,OTU1177,16,2.0E-5,29.411764705882%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__norank_c__Alphaproteobacteria,f__norank_c__Alphaproteobacteria,g__norank_c__Alphaproteobacteria,s__metagenome_g__norank_c__Alphaproteobacteria,OTU1007,1212,0.00168,94.117647058824%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Rhodocyclaceae,g__Sulfuritalea,s__uncultured_bacterium_g__Sulfuritalea,OTU1069,47,7.0E-5,5.8823529411765%
d__Bacteria,k__norank_d__Bacteria,p__Chloroflexi,c__OLB14,o__norank_c__OLB14,f__norank_c__OLB14,g__norank_c__OLB14,s__bacterium_SCGC_AG-212-C10,OTU1056,859,0.00119,94.117647058824%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiales_Incertae_Sedis,g__Phreatobacter,s__unclassified_g__Phreatobacter,OTU1010,11,2.0E-5,35.294117647059%
d__Bacteria,k__norank_d__Bacteria,p__Chloroflexi,c__Chloroflexia,o__Thermomicrobiales,f__JG30-KF-CM45,g__norank_f__JG30-KF-CM45,s__uncultured_Chloroflexi_bacterium_g__norank_f__JG30-KF-CM45,OTU1446,18,2.0E-5,5.8823529411765%
d__Bacteria,k__norank_d__Bacteria,p__Deinococcus-Thermus,c__Deinococci,o__Thermales,f__Thermaceae,g__Meiothermus,s__Meiothermus_silvanus_DSM_9946,OTU1147,3,4.15161e-6,5.8823529411765%
d__Bacteria,k__norank_d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Microtrichales,f__norank_o__Microtrichales,g__norank_o__Microtrichales,s__metagenome_g__norank_o__Microtrichales,OTU776,22,3.0E-5,64.705882352941%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__TRA3-20,g__norank_f__TRA3-20,s__metagenome_g__norank_f__TRA3-20,OTU864,151,0.00021,52.941176470588%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__unclassified_f__Burkholderiaceae,s__unclassified_f__Burkholderiaceae,OTU752,113,0.00016,23.529411764706%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Bdellovibrionales,f__Bdellovibrionaceae,g__Bdellovibrio,s__unclassified_g__Bdellovibrio,OTU1197,5,6.91934e-6,17.647058823529%
d__Bacteria,k__norank_d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__norank_f__Muribaculaceae,s__uncultured_bacterium_g__norank_f__Muribaculaceae,OTU841,3,4.15161e-6,5.8823529411765%
d__Bacteria,k__norank_d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__IMCC26256,f__norank_o__IMCC26256,g__norank_o__IMCC26256,s__uncultured_Ferrimicrobium_sp._g__norank,OTU1136,33,5.0E-5,35.294117647059%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Diplorickettsiales,f__Diplorickettsiaceae,g__Aquicella,s__uncultured_bacterium_g__Aquicella,OTU1217,8,1.0E-5,5.8823529411765%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__unclassified_f__Beijerinckiaceae,s__unclassified_f__Beijerinckiaceae,OTU1070,28,4.0E-5,47.058823529412%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Methylophilaceae,g__unclassified_f__Methylophilaceae,s__unclassified_f__Methylophilaceae,OTU1011,3,4.15161e-6,5.8823529411765%
d__Bacteria,k__norank_d__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Solibacterales,f__Solibacteraceae_Subgroup_3,g__unclassified_f__Solibacteraceae_Subgroup_3,s__unclassified_f__Solibacteraceae_Subgroup_3,OTU1772,22,3.0E-5,23.529411764706%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Hyphomonadaceae,g__norank_f__Hyphomonadaceae,s__uncultured_Maricaulis_sp._g__norank,OTU936,7,9.68708e-6,23.529411764706%
d__Bacteria,k__norank_d__Bacteria,p__Acidobacteria,c__Holophagae,o__Holophagales,f__Holophagaceae,g__Geothrix,s__uncultured_bacterium_g__Geothrix,OTU1464,12,2.0E-5,29.411764705882%
d__Bacteria,k__norank_d__Bacteria,p__Cyanobacteria,c__Melainabacteria,o__Obscuribacterales,f__norank_o__Obscuribacterales,g__norank_o__Obscuribacterales,s__uncultured_bacterium_g__norank_o__Obscuribacterales,OTU1037,14,2.0E-5,35.294117647059%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Acidiferrobacterales,f__Acidiferrobacteraceae,g__norank_f__Acidiferrobacteraceae,s__uncultured_bacterium_g__norank_f__Acidiferrobacteraceae,OTU1078,286,0.0004,29.411764705882%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Oligoflexales,f__0319-6G20,g__norank_f__0319-6G20,s__uncultured_bacterium_g__norank_f__0319-6G20,OTU777,3,4.15161e-6,11.764705882353%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Magnetospiraceae,g__norank_f__Magnetospiraceae,s__metagenome_g__norank_f__Magnetospiraceae,OTU1196,7,9.68708e-6,29.411764705882%
d__Bacteria,k__norank_d__Bacteria,p__Verrucomicrobia,c__Verrucomicrobiae,o__Opitutales,f__Opitutaceae,g__Lacunisphaera,s__uncultured_Verrucomicrobia_bacterium_g__Lacunisphaera,OTU1202,33,5.0E-5,29.411764705882%
d__Bacteria,k__norank_d__Bacteria,p__Acidobacteria,c__Subgroup_6,o__norank_c__Subgroup_6,f__norank_c__Subgroup_6,g__norank_c__Subgroup_6,s__unclassified_g__norank_c__Subgroup_6,OTU891,125,0.00017,52.941176470588%
d__Bacteria,k__norank_d__Bacteria,p__unclassified_k__norank_d__Bacteria,c__unclassified_k__norank_d__Bacteria,o__unclassified_k__norank_d__Bacteria,f__unclassified_k__norank_d__Bacteria,g__unclassified_k__norank_d__Bacteria,s__unclassified_k__norank_d__Bacteria,OTU754,2,2.76774e-6,5.8823529411765%
d__Bacteria,k__norank_d__Bacteria,p__Cyanobacteria,c__Oxyphotobacteria,o__Chloroplast,f__norank_o__Chloroplast,g__norank_o__Chloroplast,s__Chromochloris_zofingiensis,OTU1150,9,1.0E-5,5.8823529411765%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Cellvibrionales,f__Porticoccaceae,g__C1-B045,s__uncultured_gamma_proteobacterium_g__C1-B045,OTU887,100,0.00014,35.294117647059%
d__Bacteria,k__norank_d__Bacteria,p__Cyanobacteria,c__Melainabacteria,o__Obscuribacterales,f__norank_o__Obscuribacterales,g__norank_o__Obscuribacterales,s__uncultured_bacterium_g__norank_o__Obscuribacterales,OTU1175,10,1.0E-5,17.647058823529%
