Domain,Kingdom,Phylum,Class,Order,Family,Genus,Species,OTU,Total,Percent,Prevalence
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methyloparacoccus,s__uncultured_bacterium_g__Methyloparacoccus,OTU3131,38,5.0E-5,47.058823529412%
d__Bacteria,k__norank_d__Bacteria,p__Bacteroidetes,c__Ignavibacteria,o__Ignavibacteriales,f__PHOS-HE36,g__norank_f__PHOS-HE36,s__uncultured_bacterium_g__norank_f__PHOS-HE36,OTU2818,9734,0.01347,47.058823529412%
d__Bacteria,k__norank_d__Bacteria,p__Chlamydiae,c__Chlamydiae,o__Chlamydiales,f__Simkaniaceae,g__norank_f__Simkaniaceae,s__unclassified_g__norank_f__Simkaniaceae,OTU3072,6,8.30321e-6,17.647058823529%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Haliangiaceae,g__Haliangium,s__unclassified_g__Haliangium,OTU3199,39,5.0E-5,47.058823529412%
d__Bacteria,k__norank_d__Bacteria,p__Planctomycetes,c__Planctomycetacia,o__Gemmatales,f__Gemmataceae,g__norank_f__Gemmataceae,s__unclassified_g__norank_f__Gemmataceae,OTU3236,68,9.0E-5,47.058823529412%
d__Bacteria,k__norank_d__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SBR1031,f__norank_o__SBR1031,g__norank_o__SBR1031,s__unclassified_g__norank_o__SBR1031,OTU3209,15,2.0E-5,41.176470588235%
d__Bacteria,k__norank_d__Bacteria,p__Acidobacteria,c__Holophagae,o__Subgroup_7,f__norank_o__Subgroup_7,g__norank_o__Subgroup_7,s__unclassified_g__norank_o__Subgroup_7,OTU2747,363,0.0005,58.823529411765%
d__Bacteria,k__norank_d__Bacteria,p__Dependentiae,c__Babeliae,o__Babeliales,f__unclassified_o__Babeliales,g__unclassified_o__Babeliales,s__unclassified_o__Babeliales,OTU3145,272,0.00038,76.470588235294%
d__Bacteria,k__norank_d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__norank_o__Chitinophagales,g__norank_o__Chitinophagales,s__uncultured_delta_proteobacterium_g__norank_o__Chitinophagales,OTU2843,50,7.0E-5,52.941176470588%
d__Bacteria,k__norank_d__Bacteria,p__Bacteroidetes,c__Ignavibacteria,o__SJA-28,f__norank_o__SJA-28,g__norank_o__SJA-28,s__metagenome_g__norank_o__SJA-28,OTU3023,118,0.00016,47.058823529412%
d__Bacteria,k__norank_d__Bacteria,p__Dependentiae,c__Babeliae,o__Babeliales,f__norank_o__Babeliales,g__norank_o__Babeliales,s__unclassified_g__norank_o__Babeliales,OTU3078,7,9.68708e-6,29.411764705882%
d__Bacteria,k__norank_d__Bacteria,p__Zixibacteria,c__norank_p__Zixibacteria,o__norank_p__Zixibacteria,f__norank_p__Zixibacteria,g__norank_p__Zixibacteria,s__unclassified_g__norank_p__Zixibacteria,OTU3094,16,2.0E-5,41.176470588235%
d__Bacteria,k__norank_d__Bacteria,p__Chlamydiae,c__Chlamydiae,o__Chlamydiales,f__Parachlamydiaceae,g__Candidatus_Protochlamydia,s__metagenome_g__Candidatus_Protochlamydia,OTU3201,63,9.0E-5,47.058823529412%
d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Christensenellaceae,g__Christensenellaceae_R-7_group,s__uncultured_bacterium_g__Christensenellaceae_R-7_group,OTU3285,16,2.0E-5,35.294117647059%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__unclassified_c__Gammaproteobacteria,f__unclassified_c__Gammaproteobacteria,g__unclassified_c__Gammaproteobacteria,s__unclassified_c__Gammaproteobacteria,OTU3157,145,0.0002,47.058823529412%
d__Bacteria,k__norank_d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Solirubrobacterales,f__Solirubrobacteraceae,g__Conexibacter,s__metagenome_g__Conexibacter,OTU3149,117,0.00016,47.058823529412%
d__Bacteria,k__norank_d__Bacteria,p__Chloroflexi,c__Anaerolineae,o__Anaerolineales,f__Anaerolineaceae,g__Longilinea,s__uncultured_Chloroflexi_bacterium_g__Longilinea,OTU3047,8,1.0E-5,29.411764705882%
d__Bacteria,k__norank_d__Bacteria,p__Acidobacteria,c__Subgroup_22,o__norank_c__Subgroup_22,f__norank_c__Subgroup_22,g__norank_c__Subgroup_22,s__uncultured_bacterium_g__norank_c__Subgroup_22,OTU3098,23,3.0E-5,41.176470588235%
d__Bacteria,k__norank_d__Bacteria,p__Dependentiae,c__Babeliae,o__Babeliales,f__unclassified_o__Babeliales,g__unclassified_o__Babeliales,s__unclassified_o__Babeliales,OTU3104,12,2.0E-5,35.294117647059%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Bdellovibrionales,f__Bdellovibrionaceae,g__Bdellovibrio,s__unclassified_g__Bdellovibrio,OTU2754,5,6.91934e-6,29.411764705882%
d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__unclassified_g__Streptococcus,OTU3220,17,2.0E-5,35.294117647059%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__SC-I-84,g__norank_f__SC-I-84,s__unclassified_g__norank_f__SC-I-84,OTU3208,126,0.00017,47.058823529412%
d__Bacteria,k__norank_d__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__norank_o__Saccharimonadales,g__norank_o__Saccharimonadales,s__uncultured_bacterium_g__norank_o__Saccharimonadales,OTU2855,189,0.00026,47.058823529412%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Rhodocyclaceae,g__unclassified_f__Rhodocyclaceae,s__unclassified_f__Rhodocyclaceae,OTU3159,3,4.15161e-6,17.647058823529%
d__Bacteria,k__norank_d__Bacteria,p__Acidobacteria,c__Subgroup_17,o__norank_c__Subgroup_17,f__norank_c__Subgroup_17,g__norank_c__Subgroup_17,s__unclassified_g__norank_c__Subgroup_17,OTU3162,1296,0.00179,47.058823529412%
d__Bacteria,k__norank_d__Bacteria,p__Armatimonadetes,c__Chthonomonadetes,o__Chthonomonadales,f__norank_o__Chthonomonadales,g__norank_o__Chthonomonadales,s__uncultured_bacterium_g__norank_o__Chthonomonadales,OTU3103,3,4.15161e-6,11.764705882353%
d__Bacteria,k__norank_d__Bacteria,p__Spirochaetes,c__Leptospirae,o__Leptospirales,f__Leptospiraceae,g__Leptospira,s__unclassified_g__Leptospira,OTU3068,31,4.0E-5,47.058823529412%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Gammaproteobacteria_Incertae_Sedis,f__unclassified_o__Gammaproteobacteria_Incertae_Sedis,g__Candidatus_Ovatusbacter,s__unclassified_g__Candidatus_Ovatusbacter,OTU3132,232,0.00032,47.058823529412%
d__Bacteria,k__norank_d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella_7,s__uncultured_bacterium_g__Prevotella_7,OTU3225,2,2.76774e-6,11.764705882353%
d__Bacteria,k__norank_d__Bacteria,p__Synergistetes,c__Synergistia,o__Synergistales,f__Synergistaceae,g__unclassified_f__Synergistaceae,s__unclassified_f__Synergistaceae,OTU3215,2,2.76774e-6,11.764705882353%
d__Bacteria,k__norank_d__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SJA-15,f__norank_o__SJA-15,g__norank_o__SJA-15,s__uncultured_bacterium_g__norank_o__SJA-15,OTU2872,12,2.0E-5,29.411764705882%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Desulfovibrio,s__uncultured_bacterium_g__Desulfovibrio,OTU2755,4,5.53547e-6,11.764705882353%
d__Bacteria,k__norank_d__Bacteria,p__Planctomycetes,c__OM190,o__norank_c__OM190,f__norank_c__OM190,g__norank_c__OM190,s__uncultured_bacterium_g__norank_c__OM190,OTU3163,3,4.15161e-6,17.647058823529%
d__Bacteria,k__norank_d__Bacteria,p__Planctomycetes,c__Planctomycetacia,o__Gemmatales,f__Gemmataceae,g__norank_f__Gemmataceae,s__unclassified_g__norank_f__Gemmataceae,OTU3112,8,1.0E-5,23.529411764706%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Rhodocyclaceae,g__Dechloromonas,s__unclassified_g__Dechloromonas,OTU3071,36,5.0E-5,58.823529411765%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__Ottowia,s__uncultured_bacterium_g__Ottowia,OTU3153,668,0.00092,52.941176470588%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__Lautropia,s__uncultured_beta_proteobacterium_g__Lautropia,OTU3217,4,5.53547e-6,17.647058823529%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Nitrosomonadaceae,g__Ellin6067,s__uncultured_bacterium_g__Ellin6067,OTU3169,64,9.0E-5,70.588235294118%
d__Bacteria,k__norank_d__Bacteria,p__Elusimicrobia,c__Elusimicrobia,o__norank_c__Elusimicrobia,f__norank_c__Elusimicrobia,g__norank_c__Elusimicrobia,s__unclassified_g__norank_c__Elusimicrobia,OTU2881,16,2.0E-5,41.176470588235%
d__Bacteria,k__norank_d__Bacteria,p__Planctomycetes,c__Planctomycetacia,o__norank_c__Planctomycetacia,f__norank_c__Planctomycetacia,g__norank_c__Planctomycetacia,s__unclassified_g__norank_c__Planctomycetacia,OTU3244,13,2.0E-5,23.529411764706%
